"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000057729",28.4735386487865,-0.118997942475589,0.088809277330829,-1.33992693164591,0.180269101352547,0.316050584373525
"ENSMUSG00000071235",0.308501293103756,-1.07254979935081,0.800472686667664,-1.33989556072899,0.180279301567813,0.316050584373525
"ENSMUSG00000015478",1658.51589395033,0.0268333125917752,0.0200281457566787,1.3397801732508,0.180316823354148,0.316071719960491
"ENSMUSG00000046432",3867.90051256028,-0.0428633193829003,0.031993304683323,-1.33975904668715,0.180323693934184,0.316071719960491
"ENSMUSG00000083830",2.0806224074539,0.332729958846769,0.24836307382045,1.33969174132267,0.18034558364116,0.316081747767711
"ENSMUSG00000027070",8.35590667226777,0.376688197297151,0.281196808015477,1.33958916516726,0.180378948255185,0.316111883410185
"ENSMUSG00000068431",2.84373963784291,0.400983671159489,0.299402449873257,1.33927986003198,0.180479582693293,0.316259646422771
"ENSMUSG00000100801",0.892465591659364,1.24330387926424,0.928371781115042,1.33923058041568,0.180495619987664,0.316259646422771
"ENSMUSG00000024276",1167.85699140524,-0.0512389188951853,0.0382650545788045,-1.33905254962232,0.180553566194659,0.316304477600088
"ENSMUSG00000059625",1.08360972478273,-0.494303876012424,0.369142936002631,-1.33905820158753,0.180551726357057,0.316304477600088
"ENSMUSG00000049107",23.6594034952356,-0.218659328659767,0.163312129795644,-1.3389043969568,0.180601798075855,0.316360622812265
"ENSMUSG00000082062",1.23428157131302,0.501510480553769,0.374720907391309,1.33835734986107,0.180779975041698,0.316615994632697
"ENSMUSG00000113411",0.924981827835548,0.54581688202203,0.407816271021721,1.3383891737683,0.180769606203714,0.316615994632697
"ENSMUSG00000000159",10.5888146847101,0.176395094350921,0.131815177719648,1.33820017848087,0.180831190961967,0.316648956656709
"ENSMUSG00000027459",161.0699847585,-0.0530258071629403,0.0396236261183819,-1.33823711652531,0.180819153349652,0.316648956656709
"ENSMUSG00000023967",1292.32113252408,0.0416952715206222,0.0311650303659537,1.33788643973767,0.180933458194458,0.316799657343794
"ENSMUSG00000106116",1.96889715723563,-0.360069347011064,0.26923674571659,-1.33737074429687,0.181101649136069,0.31706574771279
"ENSMUSG00000051000",72.3293921336622,-0.12866153863192,0.0962151543972225,-1.337227377932,0.181148427818928,0.317119245583615
"ENSMUSG00000022753",5.17026836922484,0.270004886051496,0.201927852925191,1.337135428026,0.181178434663983,0.317143375648837
"ENSMUSG00000091512",1385.36638496246,-0.041089496261975,0.0307335545709034,-1.33695880075245,0.18123608539163,0.31721588623162
"ENSMUSG00000081659",0.445347245237867,-0.655286276712799,0.490174542964872,-1.33684273513927,0.181273976348485,0.31725380157892
"ENSMUSG00000029287",361.356520650937,0.0755146138842994,0.0565001516030502,1.3365382524075,0.181373406190268,0.317399401809466
"ENSMUSG00000045506",0.808399651773158,0.519620472903804,0.388908521546615,1.3360994787087,0.181516760375257,0.317621835712128
"ENSMUSG00000059772",500.999891438858,0.0435502214000896,0.032597501097299,1.33599877089039,0.18154967504516,0.317650997713939
"ENSMUSG00000004864",24.4274163618648,0.187606282936372,0.1404468125447,1.33578170652084,0.181620633972919,0.31774671322146
"ENSMUSG00000031217",460.92177685491,-0.084157458739124,0.0630354796151884,-1.33508080295222,0.181849901751755,0.318062425458088
"ENSMUSG00000062296",6090.64411966835,0.0839260455250858,0.0628609491555636,1.33510624087765,0.18184157717263,0.318062425458088
"ENSMUSG00000091762",0.433275576729752,-0.719738685583786,0.539086647828646,-1.33510760929208,0.181841129366052,0.318062425458088
"ENSMUSG00000058704",673.375903916327,0.0421438054199124,0.0315717099978407,1.33485976599921,0.181922248153256,0.318160496434783
"ENSMUSG00000029482",1666.53529301692,-0.0519994788666338,0.0389594763690109,-1.33470682136773,0.181972320124617,0.318219598006632
"ENSMUSG00000061371",145.089741915911,-0.0515134747420504,0.0385968377613408,-1.33465531711635,0.181989184209819,0.318220622729673
"ENSMUSG00000044595",26.1151719087064,0.134254490565127,0.100610002316371,1.33440500421578,0.182071160905843,0.31833549097114
"ENSMUSG00000005950",29.5122263146394,-0.126010646438524,0.0944591346613211,-1.3340228755041,0.182196359687429,0.318516533904553
"ENSMUSG00000015750",1775.25489062421,0.0390574601854724,0.0292819596487412,1.33384038001539,0.182256174139666,0.318516533904553
"ENSMUSG00000030553",16.3189971289914,-0.159372593044423,0.119478261320362,-1.3339045219037,0.18223514942943,0.318516533904553
"ENSMUSG00000032978",0.427467403362801,-0.72997220497129,0.547270729237072,-1.33384112464577,0.182255930051125,0.318516533904553
"ENSMUSG00000056995",7.92493062205228,0.23998945450641,0.179916073164431,1.33389669019218,0.182237716445863,0.318516533904553
"ENSMUSG00000041642",3239.0718238065,0.0480938165784326,0.0360585746072037,1.33376921030108,0.182279504566909,0.318528831212882
"ENSMUSG00000030516",3990.56828424441,0.0435611793091537,0.0326640687169665,1.33361154994531,0.182331195723028,0.318590681550722
"ENSMUSG00000047953",20.3707795113695,-0.120684680402119,0.0905080792498205,-1.33341334168638,0.182396196499643,0.318647296279849
"ENSMUSG00000072568",327.988635627221,-0.0807110108561476,0.0605280603974022,-1.33344783107591,0.18238488475189,0.318647296279849
"ENSMUSG00000026778",406.653687845228,0.0722717619929784,0.0542495148267873,1.33221029208711,0.182791095473316,0.319308652078264
"ENSMUSG00000021403",0.965178623656486,0.584946008202402,0.439208300455958,1.33181911087552,0.182919636480977,0.31950464381403
"ENSMUSG00000038827",782.125802569142,-0.0284477948690052,0.0213639823402593,-1.33157734433233,0.18299911375564,0.319614908854553
"ENSMUSG00000057236",4742.73902818141,-0.0488946243990907,0.0367214052772515,-1.33150199536019,0.18302388887716,0.319629623339253
"ENSMUSG00000033400",1566.01874931306,0.0485012870685787,0.0364374462806879,1.33108359721369,0.183161505521649,0.319790290262408
"ENSMUSG00000040254",277.947320957725,0.0673064951577063,0.0505655894401992,1.33107308552797,0.183164963940262,0.319790290262408
"ENSMUSG00000103585",267.104611030241,0.0796514440919907,0.0598368904622824,1.33114276956284,0.183142038305035,0.319790290262408
"ENSMUSG00000033590",57.420164078047,0.174459092688599,0.131074305348549,1.33099383761511,0.183191038619151,0.319807252542042
"ENSMUSG00000057719",44.0066593155497,-0.419615786075833,0.315330223201669,-1.33071857754487,0.183281627899523,0.319936828628251
"ENSMUSG00000026848",931.265699286279,0.0279034778494116,0.0209704279267338,1.33061079854452,0.183317107476317,0.319941624324124
"ENSMUSG00000038046",342.496483687368,-0.0479599671701257,0.0360426797870025,-1.33064376604485,0.183306254423533,0.319941624324124
"ENSMUSG00000115791",5.63402368493438,0.211878533152415,0.159253270227575,1.33045012419298,0.183370009026861,0.320005383544555
